"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.55512918285244,0.215005368235787,2.5819317322517,0.0134034012220862
"foraging_rate",0.243288681209376,0.0329437877940803,7.384963827781,4.11170935664914e-09
"sp_predE lucius",0.0938323988569568,0.212294697814171,0.441991250008003,0.660763124176651
