"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.09758909458924,0.184987564531243,5.9333128546804,4.95371672393536e-07
"pre_dur",0.00844080057325686,0.00205527071495676,4.10690451230141,0.000181225070220066
"sp_predE lucius",-0.562744342993158,0.251203935379537,-2.24018919983449,0.0304271980810242
