date,month,sample,time,pre_id,pre,attack_in_pre,pre_dur,sp_pred,n_pred,size_pred,action_pred,tte_pred,n_attack,foraging_rate,shoal_size,shoal_density,shoal_area,change_size,change_density,change_area,shoal_beh,tte_shoal_end,switch_rate
25/11/2018,2,3,15:46:50,2511_11,1,1,12,1,1,95,1,0,1,1.6,92,28.6,3.21,-51,-6.2,-1.38,2,0,3.3
26/11/2018,2,1,07:06:41,2611_1,1,0,66,2,1,123,0,0,0,0,337,25.7,13.07,47,7.1,-1.42,4,0,3.3
26/11/2018,2,1,07:11:06,2611_2,1,1,63,2,1,124,0,29,1,1.6,366,27,13.52,-65,-0.5,-2.16,5,31,6.6
26/11/2018,2,1,07:38:48,2611_3,1,1,347,2,1,116,0,45,1,1.6,475,37.8,12.56,45,2.9,0.2,4,4,13
26/11/2018,2,3,15:41:33,2611_4,1,1,35,2,1,140,0,27,1,1.6,444,34.3,12.93,-42,2.6,-2.07,4,7,5
26/11/2018,2,3,15:43:26,2611_5,1,0,75,2,1,118,0,0,0,0,474,35.7,13.26,-89,-7.9,0.6,6,0,1.6
28/11/2018,2,3,15:37:34,2811_1,1,1,129,2,1,126,0,16,1,1.6,278,34.2,8.12,115,2.5,2.56,6,3,10
28/11/2018,2,3,15:43:33,2811_2,1,0,39,2,1,126,0,0,0,0,506,38.1,13.28,-46,-0.2,-1.12,6,0,1.6
28/11/2018,2,3,15:46:42,2811_3,1,1,83,2,1,126,0,40,1,1.6,485,38,12.73,-106,-2.5,-2.06,4,1,8.3
28/11/2018,2,3,15:59:10,2811_4,1,0,80,2,1,131,0,0,0,0,455,36.7,12.38,15,1.3,-0.04,6,0,1.6
28/11/2018,2,3,16:11:00,2811_5,1,0,60,2,1,119,0,0,0,0,224,20.9,10.69,36,2.3,0.48,6,0,1.6
28/11/2018,2,4,23:55:13,2811_6,1,0,202,2,1,113,0,0,0,0,30,20,1.5,1,-1.7,0.2,4,0,0
28/11/2018,2,4,00:17:19,2811_7,1,0,61,2,1,109,0,0,0,0,29,23.3,1.24,18,4.7,0.43,4,0,0
28/11/2018,2,4,00:28:49,2811_8,1,0,176,2,1,108,0,0,0,0,21,13.9,1.51,-2,9.8,-0.71,4,0,0
29/11/2018,2,1,06:44:42,2911_1,1,0,74,2,1,126,0,0,0,0,100,10.2,9.8,-10,0.4,-1.36,4,0,0
29/11/2018,2,1,07:13:25,2911_2,1,1,15,1,1,107,1,0,1,1.6,430,31.7,13.56,-130,-3.9,-2.77,3,12,1.6
29/11/2018,2,1,07:15:05,2911_3,1,1,12,2,1,107,1,0,1,1.6,407,32.1,12.66,-47,-0.3,-1.34,3,12,1.6
29/11/2018,2,1,07:32:16,2911_4,1,0,34,2,1,121,0,0,0,0,368,37.3,9.85,4,-8.4,3.01,4,0,0
29/11/2018,2,1,07:58:34,2911_5,1,1,164,2,1,118,1,0,1,1.6,424,35,12.09,46,8,-1.18,3,4,0
29/11/2018,2,1,08:02:11,2911_6,1,0,136,2,1,118,0,0,0,0,411,31,13.23,-95,-1.9,-2.36,4,0,0
29/11/2018,2,1,08:28:51,2911_7,1,1,102,2,1,118,1,3,1,1.6,338,27.4,12.3,67,10.1,-1.53,1,1,8.3
29/11/2018,2,2,12:15:25,2911_8,1,0,105,2,1,124,0,0,0,0,30,22.5,1.33,15,18.7,-0.24,4,0,3.3
29/11/2018,2,2,12:18:45,2911_9,1,0,134,2,1,124,0,0,0,0,97,33.5,2.89,47,3.3,1.01,6,0,1.6
29/11/2018,2,2,12:36:33,2911_10,1,0,226,2,1,124,0,0,0,0,49,57.6,0.85,-5,-7,0.02,6,0,3.3
29/11/2018,2,2,13:12:07,2911_11,1,1,9,1,1,109,1,0,1,1.6,145,30.6,4.73,-74,0.9,-2.48,2,6,1.6
29/11/2018,2,3,15:30:53,2911_12,1,0,130,2,1,112,0,0,0,0,466,34.3,13.58,-220,-11.7,-2.67,4,0,6.6
23/12/2018,3,1,07:50:31,2312_1,1,0,192,2,1,118,0,0,0,0,433,32.5,13.29,-27,-2.2,0.11,0,0,0
23/12/2018,3,1,07:57:03,2312_2,1,0,25,2,1,118,0,0,0,0,430,32.9,13.05,24,3.1,-0.48,4,0,0
23/12/2018,3,1,08:16:41,2312_3,1,1,46,1,1,96,1,0,2,3.3,458,39.5,11.58,-42,-1.5,-0.63,3,18,5
23/12/2018,3,1,08:22:30,2312_4,1,1,18,1,1,98,1,0,1,1.6,468,34.9,13.39,-183,-6.6,-3.32,3,12,1.6
23/12/2018,3,2,11:32:10,2312_5,1,1,34,1,1,84,1,0,2,3.3,59,44,1.34,-59,-44,-1.34,1,6,1.6
23/12/2018,3,3,16:26:56,2312_6,1,0,47,2,1,106,0,0,0,0,241,19.4,12.4,-8,-0.2,-0.25,0,0,0
23/12/2018,3,3,16:43:03,2312_7,1,0,122,2,1,89,0,0,0,0,,,,,,,0,0,
24/12/2018,3,3,15:36:15,2412_1,1,1,12,1,1,82,1,0,1,1.6,206,30.6,6.73,-86,-5.2,-1.99,2,3,1.6
24/12/2018,3,3,15:46:50,2412_2,1,1,91,1,1,79,1,0,2,3.3,272,35,7.75,-14,-1.7,-0.01,2,0,3.3
24/12/2018,3,3,16:02:10,2412_3,1,1,337,2,1,124,0,153,1,1.6,525,40.8,12.85,-16,-1.8,0.19,4,0,8.3
24/12/2018,3,3,16:08:25,2412_4,1,0,63,2,1,124,0,0,0,0,456,33.2,13.73,-34,0.8,-1.35,4,0,3.3
24/12/2018,3,3,16:10:00,2412_5,1,1,179,2,2,110,0,42,3,5,475,36.2,13.09,-63,-0.6,-1.54,4,20,3
24/12/2018,3,4,00:19:25,2412_6,1,0,146,2,1,124,0,0,0,0,,,,,,,0,0,
24/12/2018,3,4,00:58:37,2412_7,1,0,96,2,1,131,0,0,0,0,46,36.5,1.26,2,-6.6,0.35,4,0,0
24/12/2018,3,4,01:07:52,2412_8,1,0,87,2,1,127,0,0,0,0,,,,,,,0,0,
24/12/2018,3,4,01:23:07,2412_9,1,0,219,2,1,125,0,0,0,0,46,24,1.91,-15,2.8,-0.76,4,0,0
25/12/2018,3,1,06:30:28,2512_1,1,0,94,2,1,122,0,0,0,0,157,12.2,12.77,11,3.5,-2.14,4,0,3.3
25/12/2018,3,1,06:45:20,2512_2,1,0,79,2,1,119,0,0,0,0,203,14.9,13.55,-28,0.3,-2.11,4,0,1.6
25/12/2018,3,1,06:49:15,2512_3,1,0,80,2,1,119,0,0,0,0,151,12.6,11.9,-13,-0.3,-0.73,4,0,1.6
25/12/2018,3,1,06:55:11,2512_4,1,0,41,2,1,121,0,0,0,0,213,17.2,12.38,-71,-2.3,-2.79,4,0,1.6
25/12/2018,3,1,07:14:00,2512_5,1,0,127,2,1,121,0,0,0,0,235,19.4,12.06,32,1.2,0.82,4,0,1.6
25/12/2018,3,1,07:25:21,2512_6,1,1,40,2,1,128,0,19,1,1.6,374,29.8,12.54,60,3.2,0.58,4,18,5
25/12/2018,3,1,07:30:09,2512_7,1,1,347,2,2,102,0,23,1,1.6,529,36.9,14.32,-143,-4.6,-2.35,4,59,3.3
25/12/2018,3,1,07:31:54,2512_8,1,0,241,2,2,115,0,0,0,0,,,,,,,4,0,
25/12/2018,3,1,07:48:00,2512_9,1,0,104,2,1,123,0,0,0,0,418,29.9,13.94,-46,4.1,-3.04,4,0,3.3
